,Category_Name,Category_Images,Product,Crafting_Focus,Ingredient_1_Image,Ingredient_1_Name,Ingredient_1_Amount,Ingredient_2_Image,Ingredient_2_Name,Ingredient_2_Amount,Ingredient_3_Image,Ingredient_3_Name,Ingredient_3_Amount,Ingredient_4_Image,Ingredient_4_Name,Ingredient_4_Amount,Ingredient_5_Image,Ingredient_5_Name,Ingredient_5_Amount
0,QUESTITEM_TOKEN_AVALON,https://render.albiononline.com/v1/item/QUESTITEM_TOKEN_AVALON,Avalonian Energy (T6),,,,,,,,,,,,,,,,
1,T1_2H_TOOL_AXE,https://render.albiononline.com/v1/item/T1_2H_TOOL_AXE,Beginner's Axe (T1),0,https://render.albiononline.com/v1/item/T1_WOOD,Rough Logs,3,https://render.albiononline.com/v1/item/T1_ROCK,Rough Stone,3,,,,,,,,,
2,T1_2H_TOOL_HAMMER,https://render.albiononline.com/v1/item/T1_2H_TOOL_HAMMER,Beginner's Stone Hammer (T1),,https://render.albiononline.com/v1/item/T1_WOOD,Rough Logs,3,https://render.albiononline.com/v1/item/T1_ROCK,Rough Stone,3,,,,,,,,,
3,T1_2H_TOOL_KNIFE,https://render.albiononline.com/v1/item/T1_2H_TOOL_KNIFE,Beginner's Skinning Knife (T1),,https://render.albiononline.com/v1/item/T1_WOOD,Rough Logs,3,https://render.albiononline.com/v1/item/T1_ROCK,Rough Stone,3,,,,,,,,,
4,T1_2H_TOOL_PICK,https://render.albiononline.com/v1/item/T1_2H_TOOL_PICK,Beginner's Pickaxe (T1),,https://render.albiononline.com/v1/item/T1_WOOD,Rough Logs,3,https://render.albiononline.com/v1/item/T1_ROCK,Rough Stone,3,,,,,,,,,
5,T1_ARMOR_LEATHER_SET1,https://render.albiononline.com/v1/item/T1_ARMOR_LEATHER_SET1,Beginner's Mercenary Jacket (T1),,https://render.albiononline.com/v1/item/T1_HIDE,Scraps of Hide,8,,,,,,,,,,,,
6,T1_CARROT,https://render.albiononline.com/v1/item/T1_CARROT,Carrots (T1),,,,,,,,,,,,,,,,
7,T1_FACTION_FOREST_TOKEN_1,https://render.albiononline.com/v1/item/T1_FACTION_FOREST_TOKEN_1,Treeheart (T1),,,,,,,,,,,,,,,,
8,T1_FACTION_STEPPE_TOKEN_1,https://render.albiononline.com/v1/item/T1_FACTION_STEPPE_TOKEN_1,Beastheart (T1),,,,,,,,,,,,,,,,
9,T1_FACTION_SWAMP_TOKEN_1,https://render.albiononline.com/v1/item/T1_FACTION_SWAMP_TOKEN_1,Vineheart (T1),,,,,,,,,,,,,,,,
10,T1_FARM_CARROT_SEED,https://render.albiononline.com/v1/item/T1_FARM_CARROT_SEED,Carrot Seeds (T1),,,,,,,,,,,,,,,,
11,T1_FISH_FRESHWATER_ALL_COMMON,https://render.albiononline.com/v1/item/T1_FISH_FRESHWATER_ALL_COMMON,Common Rudd (T1),,,,,,,,,,,,,,,,
12,T1_FISH_SALTWATER_ALL_COMMON,https://render.albiononline.com/v1/item/T1_FISH_SALTWATER_ALL_COMMON,Common Herring (T1),,,,,,,,,,,,,,,,
13,T1_FISHCHOPS,https://render.albiononline.com/v1/item/T1_FISHCHOPS,Chopped Fish (T1),,https://render.albiononline.com/v1/item/T1_FISH_FRESHWATER_ALL_COMMON,Common Rudd,1,,,,,,,,,,,,
14,T1_FISHINGBAIT,https://render.albiononline.com/v1/item/T1_FISHINGBAIT,Simple Fish Bait (T1),,https://render.albiononline.com/v1/item/T1_WORM,Earthworm,1,,,,,,,,,,,,
15,T1_FISHSAUCE_LEVEL1,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL1,Basic Fish Sauce (T1),,https://render.albiononline.com/v1/item/T1_FISHCHOPS,Chopped Fish,15,https://render.albiononline.com/v1/item/T1_SEAWEED,Seaweed,1,,,,,,,,,
16,T1_FISHSAUCE_LEVEL2,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL2,Fancy Fish Sauce (T1),,https://render.albiononline.com/v1/item/T1_FISHCHOPS,Chopped Fish,45,https://render.albiononline.com/v1/item/T1_SEAWEED,Seaweed,3,,,,,,,,,
