,Page_URL,Text,Crafting_Focus,,
T4_ARTEFACT_2H_HARPOON_HELL,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_HARPOON_HELL,Crafting Requirements (1),,,
id/QUESTITEM_TOKEN_AVALON,https://albiononline2d.com/en/item/id/QUESTITEM_TOKEN_AVALON,Used In (108),,,
T2_HEAD_LEATHER_SET1,https://albiononline2d.com/en/item/id/T2_HEAD_LEATHER_SET1,Crafting Requirements (1),,,
T4_2H_KNUCKLES_KEEPER@3,https://albiononline2d.com/en/item/id/T4_2H_KNUCKLES_KEEPER@3,Crafting Requirements (3),,,
id/T3_FISH_FRESHWATER_SWAMP_RARE,https://albiononline2d.com/en/item/id/T3_FISH_FRESHWATER_SWAMP_RARE,Used In (9),,,
T4_2H_CURSEDSTAFF@1,https://albiononline2d.com/en/item/id/T4_2H_CURSEDSTAFF@1,Crafting Requirements (2),,,
T4_ARTEFACT_2H_HOLYSTAFF_HELL,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_HOLYSTAFF_HELL,Crafting Requirements (1),,,
T4_2H_HAMMER@4,https://albiononline2d.com/en/item/id/T4_2H_HAMMER@4,Crafting Requirements (2),16085,,
id/T3_FISH_SALTWATER_ALL_COMMON,https://albiononline2d.com/en/item/id/T3_FISH_SALTWATER_ALL_COMMON,Used In (1),,,
id/T3_FISH_SALTWATER_ALL_RARE,https://albiononline2d.com/en/item/id/T3_FISH_SALTWATER_ALL_RARE,Used In (9),,,
T4_ARTEFACT_2H_HOLYSTAFF_UNDEAD,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_HOLYSTAFF_UNDEAD,Crafting Requirements (1),,,
T1_2H_TOOL_AXE,https://albiononline2d.com/en/item/id/T1_2H_TOOL_AXE,Crafting Requirements (2),0,,
T4_2H_KNUCKLES_SET1,https://albiononline2d.com/en/item/id/T4_2H_KNUCKLES_SET1,Crafting Requirements (2),1715,,
T4_2H_FIRESTAFF,https://albiononline2d.com/en/item/id/T4_2H_FIRESTAFF,Crafting Requirements (2),1715,,
T4_2H_CURSEDSTAFF@2,https://albiononline2d.com/en/item/id/T4_2H_CURSEDSTAFF@2,Crafting Requirements (2),5252,,
T2_HEAD_PLATE_SET1,https://albiononline2d.com/en/item/id/T2_HEAD_PLATE_SET1,Crafting Requirements (1),,,
T4_2H_HAMMER_UNDEAD,https://albiononline2d.com/en/item/id/T4_2H_HAMMER_UNDEAD,Crafting Requirements (3),1715,,
T4_ARTEFACT_2H_ICECRYSTAL_UNDEAD,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_ICECRYSTAL_UNDEAD,Crafting Requirements (1),,,
T4_2H_NATURESTAFF_HELL@3,https://albiononline2d.com/en/item/id/T4_2H_NATURESTAFF_HELL@3,Crafting Requirements (3),9191,,
T4_ARMOR_LEATHER_SET2@3,https://albiononline2d.com/en/item/id/T4_ARMOR_LEATHER_SET2@3,Crafting Requirements (1),4596,,
T4_2H_WARBOW@2,https://albiononline2d.com/en/item/id/T4_2H_WARBOW@2,Crafting Requirements (1),5252,,
T4_2H_ARCANESTAFF_HELL@3,https://albiononline2d.com/en/item/id/T4_2H_ARCANESTAFF_HELL@3,Crafting Requirements (3),9191,,
,https://albiononline2d.com/en/item/id/T2_HIDE,Used In (1),,,
T4_ARTEFACT_2H_ICEGAUNTLETS_HELL,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_ICEGAUNTLETS_HELL,Crafting Requirements (1),,,
T4_2H_FIRESTAFF@1,https://albiononline2d.com/en/item/id/T4_2H_FIRESTAFF@1,Crafting Requirements (2),3001,,
T1_2H_TOOL_HAMMER,https://albiononline2d.com/en/item/id/T1_2H_TOOL_HAMMER,Crafting Requirements (2),0,,
T4_2H_CURSEDSTAFF@3,https://albiononline2d.com/en/item/id/T4_2H_CURSEDSTAFF@3,Crafting Requirements (2),9191,,
T2_MAIN_FIRESTAFF,https://albiononline2d.com/en/item/id/T2_MAIN_FIRESTAFF,Crafting Requirements (2),420,,
T4_ARTEFACT_2H_INFERNOSTAFF_MORGANA,https://albiononline2d.com/en/item/id/T4_ARTEFACT_2H_INFERNOSTAFF_MORGANA,Crafting Requirements (1),,,
T3_HEAD_CLOTH_SET1,https://albiononline2d.com/en/item/id/T3_HEAD_CLOTH_SET1,Crafting Requirements (1),245,,
T4_2H_FIRESTAFF@2,https://albiononline2d.com/en/item/id/T4_2H_FIRESTAFF@2,Crafting Requirements (2),5252,,
T2_MAIN_SWORD,https://albiononline2d.com/en/item/id/T2_MAIN_SWORD,Crafting Requirements (2),420,,
T4_2H_KNUCKLES_SET1@1,https://albiononline2d.com/en/item/id/T4_2H_KNUCKLES_SET1@1,Crafting Requirements (2),3001,,
T4_2H_NATURESTAFF_HELL@4,https://albiononline2d.com/en/item/id/T4_2H_NATURESTAFF_HELL@4,Crafting Requirements (3),16085,,
