Category_Name,Product,Crafting_Focus,Ingredient_1_Image,Ingredient_1_Name,Ingredient_1_Amount,Ingredient_2_Image,Ingredient_2_Name,Ingredient_2_Amount,Ingredient_3_Image,Ingredient_3_Name,Ingredient_3_Amount
T5_FARM_COUGAR_BABY,Swiftclaw Cub (T5),,,,,,,,,,
T1_MEAL_SEAWEEDSALAD,Seaweed Salad (T1),4,https://render.albiononline.com/v1/item/T1_SEAWEED,Seaweed,10,,,,,,
T1_MEAL_SOUP,Carrot Soup (T1),56,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,16,,,,,,
T1_MEAL_SOUP@1,Carrot Soup (T1),78,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,16,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL1,Basic Fish Sauce,10,,,
T1_MEAL_SOUP@2,Carrot Soup (T1),123,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,16,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL2,Fancy Fish Sauce,10,,,
T1_MEAL_SOUP@3,Carrot Soup (T1),256,https://render.albiononline.com/v1/item/T1_CARROT,Carrots,16,https://render.albiononline.com/v1/item/T1_FISHSAUCE_LEVEL3,Special Fish Sauce,10,,,
T1_SEAWEED,Seaweed (T1),,,,,,,,,,
T1_WORM,Earthworm (T1),,,,,,,,,,
T2_2H_TOOL_AXE,Novice's Axe (T2),140,https://render.albiononline.com/v1/item/T2_PLANKS,Birch Planks,6,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,2,,,
T2_AGARIC,Arcane Agaric (T2),,,,,,,,,,
T2_ARMOR_CLOTH_SET1,Novice's Scholar Robe (T2),280,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,16,,,,,,
T2_ARMOR_PLATE_SET1,Novice's Soldier Armor (T2),280,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,16,,,,,,
T2_SHOES_CLOTH_SET1,Novice's Scholar Sandals (T2),140,https://render.albiononline.com/v1/item/T2_CLOTH,Simple Cloth,8,,,,,,
T2_SHOES_PLATE_SET1,Novice's Soldier Boots (T2),140,https://render.albiononline.com/v1/item/T2_METALBAR,Copper Bar,8,,,,,,
