,Category_Name,Category_Images,Product,Silver_Cost,Crafting_Focus,Ingredient_1_Image,Ingredient_1_Name,Ingredient_1_Amount,Ingredient_2_Image,Ingredient_2_Name,Ingredient_2_Amount,Ingredient_3_Image,Ingredient_3_Name,Ingredient_3_Amount,Ingredient_4_Image,Ingredient_4_Name,Ingredient_4_Amount,Ingredient_5_Image,Ingredient_5_Name,Ingredient_5_Amount
0,QUESTITEM_TOKEN_AVALON,https://render.albiononline.com/v1/item/QUESTITEM_TOKEN_AVALON,Avalonian Energy ,,,,,,,,,,,,,,,,,
1,T1_2H_TOOL_AXE,https://render.albiononline.com/v1/item/T1_2H_TOOL_AXE,Beginner's Axe ,,,https://render.albiononline.com/v1/item/T1_WOOD,Rough Logs,3,https://render.albiononline.com/v1/item/T1_ROCK,Rough Stone,3,,,,,,,,,
2,T1_2H_TOOL_HAMMER,https://render.albiononline.com/v1/item/T1_2H_TOOL_HAMMER,Beginner's Stone Hammer ,,,https://render.albiononline.com/v1/item/T1_WOOD,Rough Logs,3,https://render.albiononline.com/v1/item/T1_ROCK,Rough Stone,3,,,,,,,,,
3,T1_2H_TOOL_KNIFE,https://render.albiononline.com/v1/item/T1_2H_TOOL_KNIFE,Beginner's Skinning Knife ,,,https://render.albiononline.com/v1/item/T1_WOOD,Rough Logs,3,https://render.albiononline.com/v1/item/T1_ROCK,Rough Stone,3,,,,,,,,,
4,T1_2H_TOOL_PICK,https://render.albiononline.com/v1/item/T1_2H_TOOL_PICK,Beginner's Pickaxe ,,,https://render.albiononline.com/v1/item/T1_WOOD,Rough Logs,3,https://render.albiononline.com/v1/item/T1_ROCK,Rough Stone,3,,,,,,,,,
5,T1_ARMOR_LEATHER_SET1,https://render.albiononline.com/v1/item/T1_ARMOR_LEATHER_SET1,Beginner's Mercenary Jacket ,,,https://render.albiononline.com/v1/item/T1_HIDE,Scraps of Hide,8,,,,,,,,,,,,
6,T1_CARROT,https://render.albiononline.com/v1/item/T1_CARROT,Carrots ,,,,,,,,,,,,,,,,,
7,T1_FACTION_FOREST_TOKEN_1,https://render.albiononline.com/v1/item/T1_FACTION_FOREST_TOKEN_1,Treeheart ,,,,,,,,,,,,,,,,,
8,T1_FACTION_STEPPE_TOKEN_1,https://render.albiononline.com/v1/item/T1_FACTION_STEPPE_TOKEN_1,Beastheart ,,,,,,,,,,,,,,,,,
9,T1_FACTION_SWAMP_TOKEN_1,https://render.albiononline.com/v1/item/T1_FACTION_SWAMP_TOKEN_1,Vineheart ,,,,,,,,,,,,,,,,,
